threshold,sensitivity,specificity,precision,f1,accuracy,youden,tp,fp,tn,fn
0.0,1.0,0.0,0.17715617715617715,0.300990099009901,0.17715617715617715,0.0,152,706,0,0
0.005,0.875,0.4475920679886686,0.25430210325047803,0.39407407407407413,0.5233100233100233,0.3225920679886687,133,390,316,19
0.01,0.8223684210526315,0.5779036827195467,0.29550827423167847,0.43478260869565216,0.6212121212121212,0.40027210377217814,125,298,408,27
0.015,0.7828947368421053,0.6317280453257791,0.31398416886543534,0.44821092278719393,0.6585081585081585,0.4146227821678843,119,260,446,33
0.02,0.7697368421052632,0.6756373937677054,0.33815028901734107,0.4698795180722892,0.6923076923076923,0.4453742358729684,117,229,477,35
0.025,0.743421052631579,0.7025495750708215,0.3498452012383901,0.47578947368421054,0.7097902097902098,0.4459706277024005,113,210,496,39
0.03,0.7105263157894737,0.71671388101983,0.35064935064935066,0.46956521739130436,0.7156177156177156,0.4272401968093038,108,200,506,44
0.035,0.6907894736842105,0.7223796033994334,0.3488372093023256,0.46357615894039733,0.7167832167832168,0.4131690770836438,105,196,510,47
0.04,0.6710526315789473,0.7365439093484419,0.3541666666666667,0.4636363636363636,0.7249417249417249,0.4075965409273894,102,186,520,50
0.045,0.6710526315789473,0.7450424929178471,0.3617021276595745,0.47004608294930883,0.7319347319347319,0.41609512449679453,102,180,526,50
0.05,0.6644736842105263,0.7521246458923513,0.36594202898550726,0.4719626168224299,0.7365967365967366,0.4165983301028775,101,175,531,51
0.055,0.6644736842105263,0.7577903682719547,0.3713235294117647,0.4764150943396227,0.7412587412587412,0.422264052482481,101,171,535,51
0.06,0.6578947368421053,0.7648725212464589,0.37593984962406013,0.47846889952153104,0.745920745920746,0.4227672580885642,100,166,540,52
0.065,0.6513157894736842,0.773371104815864,0.38223938223938225,0.48175182481751827,0.7517482517482518,0.4246868942895481,99,160,546,53
0.07,0.6381578947368421,0.7790368271954674,0.383399209486166,0.4790123456790124,0.754079254079254,0.41719472193230955,97,156,550,55
0.075,0.6381578947368421,0.7818696883852692,0.38645418326693226,0.4813895781637717,0.7564102564102564,0.4200275831221112,97,154,552,55
0.08,0.625,0.7861189801699717,0.3861788617886179,0.4773869346733668,0.7575757575757576,0.4111189801699717,95,151,555,57
0.085,0.6052631578947368,0.7903682719546742,0.38333333333333336,0.4693877551020408,0.7575757575757576,0.395631429849411,92,148,558,60
0.09,0.5986842105263158,0.7917847025495751,0.38235294117647056,0.4666666666666667,0.7575757575757576,0.39046891307589093,91,147,559,61
0.095,0.5986842105263158,0.7974504249291785,0.3888888888888889,0.4715025906735751,0.7622377622377622,0.39613463545549443,91,143,563,61
0.1,0.5921052631578947,0.8002832861189801,0.38961038961038963,0.4699738903394256,0.7634032634032634,0.39238854927687483,90,141,565,62
0.105,0.5921052631578947,0.8016997167138811,0.391304347826087,0.47120418848167545,0.7645687645687645,0.39380497987177576,90,140,566,62
0.11,0.5855263157894737,0.8031161473087819,0.39035087719298245,0.46842105263157896,0.7645687645687645,0.3886424630982557,89,139,567,63
0.115,0.5855263157894737,0.8059490084985835,0.3938053097345133,0.4708994708994709,0.7668997668997669,0.3914753242880571,89,137,569,63
0.12,0.5855263157894737,0.8087818696883853,0.39732142857142855,0.4734042553191489,0.7692307692307693,0.39430818547785895,89,135,571,63
0.125,0.5789473684210527,0.8116147308781869,0.39819004524886875,0.4718498659517426,0.7703962703962703,0.3905620992992396,88,133,573,64
0.13,0.5723684210526315,0.8130311614730878,0.3972602739726027,0.46900269541778977,0.7703962703962703,0.38539958252571926,87,132,574,65
0.135,0.5723684210526315,0.8144475920679887,0.39908256880733944,0.4702702702702702,0.7715617715617715,0.3868160131206202,87,131,575,65
0.14,0.5657894736842105,0.8158640226628895,0.39814814814814814,0.46739130434782605,0.7715617715617715,0.3816534963470999,86,130,576,66
0.145,0.5657894736842105,0.8158640226628895,0.39814814814814814,0.46739130434782605,0.7715617715617715,0.3816534963470999,86,130,576,66
0.15,0.5657894736842105,0.8158640226628895,0.39814814814814814,0.46739130434782605,0.7715617715617715,0.3816534963470999,86,130,576,66
0.155,0.5657894736842105,0.8186968838526912,0.40186915887850466,0.46994535519125674,0.7738927738927739,0.38448635753690175,86,128,578,66
0.16,0.5657894736842105,0.8186968838526912,0.40186915887850466,0.46994535519125674,0.7738927738927739,0.38448635753690175,86,128,578,66
0.165,0.5657894736842105,0.8186968838526912,0.40186915887850466,0.46994535519125674,0.7738927738927739,0.38448635753690175,86,128,578,66
0.17,0.5657894736842105,0.8201133144475921,0.40375586854460094,0.4712328767123288,0.7750582750582751,0.3859027881318027,86,127,579,66
0.175,0.5657894736842105,0.8215297450424929,0.4056603773584906,0.47252747252747257,0.7762237762237763,0.3873192187267034,86,126,580,66
0.18,0.5657894736842105,0.8229461756373938,0.4075829383886256,0.47382920110192833,0.7773892773892774,0.3887356493216043,86,125,581,66
0.185,0.5657894736842105,0.8243626062322946,0.4095238095238095,0.4751381215469613,0.7785547785547785,0.390152079916505,86,124,582,66
0.19,0.5657894736842105,0.8257790368271954,0.41148325358851673,0.47645429362880887,0.7797202797202797,0.39156851051140595,86,123,583,66
