threshold,sensitivity,specificity,precision,f1,accuracy,youden,tp,fp,tn,fn
0.0,1.0,0.0,0.17715617715617715,0.300990099009901,0.17715617715617715,0.0,152,706,0,0
0.005,1.0,0.0708215297450425,0.18811881188118812,0.3166666666666667,0.23543123543123542,0.07082152974504252,152,656,50,0
0.01,1.0,0.15722379603399433,0.2034805890227577,0.3381535038932147,0.30652680652680653,0.1572237960339944,152,595,111,0
0.015,1.0,0.24079320113314448,0.22093023255813954,0.36190476190476195,0.3752913752913753,0.2407932011331444,152,536,170,0
0.02,0.993421052631579,0.3130311614730878,0.23742138364779874,0.38324873096446704,0.43356643356643354,0.30645221410466683,151,485,221,1
0.025,0.993421052631579,0.36827195467422097,0.2529313232830821,0.40320427236315093,0.479020979020979,0.3616930073058,151,446,260,1
0.03,0.993421052631579,0.41359773371104813,0.2672566371681416,0.4211994421199442,0.5163170163170163,0.4070187863426271,151,414,292,1
0.035,0.9539473684210527,0.4376770538243626,0.26752767527675275,0.4178674351585014,0.5291375291375291,0.39162442224541527,145,397,309,7
0.04,0.9407894736842105,0.45750708215297453,0.2718631178707224,0.4218289085545723,0.5431235431235432,0.39829655583718493,143,383,323,9
0.045,0.9342105263157895,0.48441926345609065,0.28063241106719367,0.43161094224924007,0.5641025641025641,0.41862978977188003,142,364,342,10
0.05,0.9276315789473685,0.5084985835694051,0.2889344262295082,0.440625,0.5827505827505828,0.4361301625167737,141,347,359,11
0.055,0.9144736842105263,0.5254957507082153,0.29324894514767935,0.44408945686900964,0.5944055944055944,0.4399694349187415,139,335,371,13
0.06,0.8947368421052632,0.5439093484419264,0.29694323144104806,0.4459016393442624,0.6060606060606061,0.43864619054718945,136,322,384,16
0.065,0.868421052631579,0.5524079320113314,0.29464285714285715,0.44,0.6083916083916084,0.4208289846429105,132,316,390,20
0.07,0.8618421052631579,0.5736543909348442,0.30324074074074076,0.44863013698630133,0.6247086247086248,0.4354964961980019,131,301,405,21
0.075,0.8618421052631579,0.5920679886685553,0.3126491646778043,0.45884413309982486,0.6398601398601399,0.4539100939317131,131,288,418,21
0.08,0.8552631578947368,0.603399433427762,0.3170731707317073,0.4626334519572954,0.6480186480186481,0.45866259132249887,130,280,426,22
