threshold,sensitivity,specificity,precision,f1,accuracy,youden,tp,fp,tn,fn
0.0,1.0,0.0,0.17715617715617715,0.300990099009901,0.17715617715617715,0.0,152,706,0,0
0.005,0.993421052631579,0.0028328611898017,0.17660818713450294,0.2999006951340616,0.17832167832167833,-0.003746086178619268,151,704,2,1
0.01,0.9868421052631579,0.00424929178470255,0.17584994138335286,0.29850746268656714,0.17832167832167833,-0.008908602952139577,150,703,3,2
0.015,0.9736842105263158,0.018413597733711047,0.1759809750297265,0.2980866062437059,0.18764568764568765,-0.007902191739973086,148,693,13,4
0.02,0.9736842105263158,0.032577903682719546,0.17809867629362214,0.301119023397762,0.1993006993006993,0.00626211420903533,148,683,23,4
0.025,0.9736842105263158,0.049575070821529746,0.1807081807081807,0.30484037075180226,0.21328671328671328,0.023259281347845606,148,671,35,4
0.03,0.9736842105263158,0.0708215297450425,0.18407960199004975,0.30962343096234307,0.23076923076923078,0.04450574027135823,148,656,50,4
0.035,0.9736842105263158,0.11048158640226628,0.19072164948453607,0.31896551724137934,0.2634032634032634,0.08416579692858206,148,628,78,4
0.04,0.9736842105263158,0.14447592067988668,0.19680851063829788,0.3274336283185841,0.2913752913752914,0.11816013120620239,148,604,102,4
0.045,0.9736842105263158,0.18271954674220964,0.20413793103448277,0.33751425313568983,0.32284382284382285,0.1564037572685255,148,577,129,4
0.05,0.9736842105263158,0.22804532577903683,0.21356421356421357,0.35029585798816565,0.36013986013986016,0.20172953630535262,148,545,161,4
0.055,0.9736842105263158,0.254957507082153,0.2195845697329377,0.3583535108958838,0.3822843822843823,0.22864171760846874,148,526,180,4
0.06,0.9736842105263158,0.301699716713881,0.23088923556942278,0.37326607818411095,0.42074592074592077,0.2753839272401968,148,493,213,4
0.065,0.9736842105263158,0.3356940509915014,0.23987034035656402,0.38491547464239273,0.44871794871794873,0.30937826151781733,148,469,237,4
0.07,0.9605263157894737,0.37535410764872523,0.24872231686541738,0.395128552097429,0.479020979020979,0.3358804234381989,146,441,265,6
0.075,0.9605263157894737,0.40509915014164305,0.2579505300353357,0.4066852367688022,0.5034965034965035,0.36562546593111667,146,420,286,6
0.08,0.9473684210526315,0.43059490084985835,0.26373626373626374,0.41260744985673353,0.5221445221445221,0.3779633219024898,144,402,304,8
0.085,0.9276315789473685,0.45325779036827196,0.2675521821631879,0.41531664212076586,0.5372960372960373,0.38088936931564055,141,386,320,11
0.09,0.9210526315789473,0.4773371104815864,0.275049115913556,0.42360060514372166,0.5559440559440559,0.3983897420605338,140,369,337,12
0.095,0.9013157894736842,0.4985835694050991,0.2790224032586558,0.4261275272161742,0.5699300699300699,0.39989935887878336,137,354,352,15
0.1,0.881578947368421,0.5141643059490085,0.2809224318658281,0.4260731319554849,0.5792540792540792,0.39574325331742966,134,343,363,18
0.105,0.875,0.5410764872521246,0.2910284463894967,0.43678160919540227,0.6002331002331003,0.41607648725212476,133,324,382,19
0.11,0.8618421052631579,0.5679886685552408,0.30045871559633025,0.445578231292517,0.62004662004662,0.4298307738183986,131,305,401,21
0.115,0.8486842105263158,0.5963172804532578,0.3115942028985507,0.4558303886925795,0.6410256410256411,0.44500149097957364,129,285,421,23
0.12,0.8421052631578947,0.6175637393767706,0.32160804020100503,0.4654545454545454,0.6573426573426573,0.45966900253466525,128,270,436,24
0.125,0.8092105263157895,0.6345609065155807,0.3228346456692913,0.4615384615384615,0.6655011655011654,0.4437714328313702,123,258,448,29
0.13,0.7960526315789473,0.6501416430594901,0.328804347826087,0.4653846153846154,0.675990675990676,0.4461942746384375,121,247,459,31
0.135,0.7894736842105263,0.6614730878186968,0.3342618384401114,0.4696673189823875,0.6841491841491841,0.4509467720292233,120,239,467,32
0.14,0.7631578947368421,0.6784702549575071,0.33819241982507287,0.4686868686868687,0.6934731934731935,0.44162814969434927,116,227,479,36
0.145,0.756578947368421,0.6940509915014165,0.3474320241691843,0.4761904761904762,0.7051282051282052,0.4506299388698376,115,216,490,37
0.15,0.75,0.7053824362606232,0.35403726708074534,0.481012658227848,0.7132867132867133,0.45538243626062336,114,208,498,38
0.155,0.75,0.7209631728045326,0.3665594855305466,0.49244060475162,0.7261072261072261,0.4709631728045327,114,197,509,38
0.16,0.7368421052631579,0.7351274787535411,0.3745819397993311,0.49667405764966743,0.7354312354312355,0.4719695840166991,112,187,519,40
0.165,0.7302631578947368,0.7422096317280453,0.378839590443686,0.49887640449438203,0.7400932400932401,0.47247278962278205,111,182,524,41
0.17,0.7171052631578947,0.7549575070821529,0.38652482269503546,0.5023041474654377,0.7482517482517482,0.4720627702400475,109,173,533,43
0.175,0.7039473684210527,0.7691218130311614,0.3962962962962963,0.5071090047393365,0.7575757575757576,0.4730691814522141,107,163,543,45
0.18,0.6973684210526315,0.7818696883852692,0.4076923076923077,0.5145631067961165,0.7668997668997669,0.4792381094379006,106,154,552,46
0.185,0.6907894736842105,0.7861189801699717,0.41015625,0.5147058823529411,0.7692307692307693,0.4769084538541821,105,151,555,47
0.19,0.6907894736842105,0.7974504249291785,0.42338709677419356,0.525,0.7785547785547785,0.4882398986133891,105,143,563,47
0.195,0.6710526315789473,0.8031161473087819,0.42323651452282157,0.5190839694656488,0.7797202797202797,0.4741687788877291,102,139,567,50
0.2,0.6578947368421053,0.8130311614730878,0.43103448275862066,0.5208333333333334,0.7855477855477856,0.47092589831519316,100,132,574,52
0.205,0.6447368421052632,0.8158640226628895,0.4298245614035088,0.5157894736842106,0.7855477855477856,0.46060086476815254,98,130,576,54
0.21,0.6381578947368421,0.8286118980169972,0.44495412844036697,0.5243243243243243,0.7948717948717948,0.46676979275383923,97,121,585,55
0.215,0.625,0.8413597733711048,0.45893719806763283,0.5292479108635098,0.803030303030303,0.4663597733711047,95,112,594,57
0.22,0.6118421052631579,0.8484419263456091,0.465,0.5284090909090909,0.8065268065268065,0.46028403160876685,93,107,599,59
0.225,0.5986842105263158,0.8498583569405099,0.4619289340101523,0.5214899713467048,0.8053613053613053,0.44854256746682575,91,106,600,61
0.23,0.5986842105263158,0.8541076487252125,0.4690721649484536,0.5260115606936416,0.8088578088578089,0.4527918592515283,91,103,603,61
0.235,0.5921052631578947,0.8583569405099151,0.47368421052631576,0.5263157894736843,0.8111888111888111,0.45046220366780965,90,100,606,62
0.24,0.5855263157894737,0.8668555240793201,0.48633879781420764,0.5313432835820895,0.817016317016317,0.45238183986879377,89,94,612,63
0.245,0.5855263157894737,0.8711048158640227,0.49444444444444446,0.536144578313253,0.8205128205128205,0.45663113165349634,89,91,615,63
0.25,0.5789473684210527,0.8725212464589235,0.4943820224719101,0.5333333333333333,0.8205128205128205,0.451468614879976,88,90,616,64
0.255,0.5723684210526315,0.8753541076487252,0.49714285714285716,0.5321100917431192,0.8216783216783217,0.44772252870135665,87,88,618,65
0.26,0.5723684210526315,0.8781869688385269,0.5028901734104047,0.5353846153846153,0.824009324009324,0.4505553898911585,87,86,620,65
0.265,0.5657894736842105,0.8852691218130312,0.5149700598802395,0.5391849529780564,0.8286713286713286,0.4510585954972417,86,81,625,66
0.27,0.5592105263157895,0.8909348441926346,0.5246913580246914,0.5414012738853503,0.8321678321678322,0.45014537050842396,85,77,629,67
0.275,0.5526315789473685,0.8909348441926346,0.5217391304347826,0.536741214057508,0.831002331002331,0.44356642314000316,84,77,629,68
0.28,0.5394736842105263,0.8923512747875354,0.5189873417721519,0.5290322580645163,0.8298368298368298,0.4318249589980616,82,76,630,70
0.285,0.5263157894736842,0.8937677053824362,0.5161290322580645,0.5211726384364821,0.8286713286713286,0.4200834948561205,80,75,631,72
0.29,0.5197368421052632,0.896600566572238,0.5197368421052632,0.5197368421052632,0.8298368298368298,0.41633740867750113,79,73,633,73
0.295,0.5197368421052632,0.896600566572238,0.5197368421052632,0.5197368421052632,0.8298368298368298,0.41633740867750113,79,73,633,73
0.3,0.4934210526315789,0.8980169971671388,0.5102040816326531,0.5016722408026756,0.8263403263403264,0.39143804979871777,75,72,634,77
0.305,0.4934210526315789,0.9008498583569405,0.5172413793103449,0.5050505050505051,0.8286713286713286,0.3942709109885194,75,70,636,77
0.31,0.4868421052631579,0.9036827195467422,0.5211267605633803,0.5034013605442176,0.8298368298368298,0.39052482480990003,74,68,638,78
0.315,0.48026315789473684,0.9050991501416431,0.5214285714285715,0.5,0.8298368298368298,0.38536230803637994,73,67,639,79
0.32,0.47368421052631576,0.9079320113314447,0.5255474452554745,0.49826989619377166,0.831002331002331,0.38161622185776056,72,65,641,80
0.325,0.46710526315789475,0.9121813031161473,0.5338345864661654,0.4982456140350877,0.8333333333333334,0.3792865662740421,71,62,644,81
0.33,0.4605263157894737,0.9150141643059491,0.5384615384615384,0.49645390070921985,0.8344988344988346,0.37554048009542274,70,60,646,82
0.335,0.4473684210526316,0.9150141643059491,0.53125,0.4857142857142857,0.8321678321678322,0.3623825853585807,68,60,646,84
0.34,0.4473684210526316,0.9150141643059491,0.53125,0.4857142857142857,0.8321678321678322,0.3623825853585807,68,60,646,84
0.345,0.4342105263157895,0.9164305949008499,0.528,0.47653429602888087,0.831002331002331,0.3506411212166394,66,59,647,86
0.35,0.4276315789473684,0.9178470254957507,0.5284552845528455,0.47272727272727266,0.831002331002331,0.34547860444311906,65,58,648,87
0.355,0.4276315789473684,0.9192634560906515,0.5327868852459017,0.4744525547445256,0.8321678321678322,0.34689503503802,65,57,649,87
0.36,0.4276315789473684,0.9249291784702549,0.5508474576271186,0.4814814814814814,0.8368298368298368,0.35256075741762327,65,53,653,87
0.365,0.4276315789473684,0.9263456090651558,0.5555555555555556,0.48327137546468407,0.837995337995338,0.3539771880125242,65,52,654,87
0.37,0.4276315789473684,0.9263456090651558,0.5555555555555556,0.48327137546468407,0.837995337995338,0.3539771880125242,65,52,654,87
0.375,0.42105263157894735,0.9263456090651558,0.5517241379310345,0.47761194029850745,0.8368298368298368,0.3473982406441032,64,52,654,88
0.38,0.40789473684210525,0.9291784702549575,0.5535714285714286,0.46969696969696967,0.8368298368298368,0.3370732070970628,62,50,656,90
0.385,0.40131578947368424,0.9305949008498584,0.5545454545454546,0.46564885496183206,0.8368298368298368,0.3319106903235427,61,49,657,91
0.39,0.40131578947368424,0.9305949008498584,0.5545454545454546,0.46564885496183206,0.8368298368298368,0.3319106903235427,61,49,657,91
0.395,0.3815789473684211,0.9348441926345609,0.5576923076923077,0.45312500000000006,0.8368298368298368,0.316423140002982,58,46,660,94
0.4,0.375,0.9348441926345609,0.5533980582524272,0.44705882352941173,0.8356643356643356,0.30984419263456076,57,46,660,95
0.405,0.3618421052631579,0.9348441926345609,0.5445544554455446,0.43478260869565216,0.8333333333333334,0.2966862978977187,55,46,660,97
0.41,0.35526315789473684,0.9362606232294618,0.5454545454545454,0.4302788844621514,0.8333333333333334,0.29152378112419863,54,45,661,98
0.415,0.34868421052631576,0.9376770538243626,0.5463917525773195,0.4257028112449799,0.8333333333333334,0.2863612643506783,53,44,662,99
0.42,0.34868421052631576,0.9390934844192634,0.5520833333333334,0.42741935483870963,0.8344988344988346,0.28777769494557925,53,43,663,99
0.425,0.34868421052631576,0.9419263456090652,0.5638297872340425,0.43089430894308944,0.8368298368298368,0.2906105561353809,53,41,665,99
0.43,0.34868421052631576,0.9419263456090652,0.5638297872340425,0.43089430894308944,0.8368298368298368,0.2906105561353809,53,41,665,99
0.435,0.34210526315789475,0.9447592067988668,0.5714285714285714,0.4279835390946502,0.837995337995338,0.2868644699567615,52,39,667,100
0.44,0.3355263157894737,0.9475920679886686,0.5795454545454546,0.425,0.8391608391608392,0.28311838377814214,51,37,669,101
0.445,0.3355263157894737,0.9475920679886686,0.5795454545454546,0.425,0.8391608391608392,0.28311838377814214,51,37,669,101
0.45,0.3223684210526316,0.9490084985835694,0.5764705882352941,0.4135021097046413,0.837995337995338,0.27137691963620103,49,36,670,103
0.455,0.3223684210526316,0.9490084985835694,0.5764705882352941,0.4135021097046413,0.837995337995338,0.27137691963620103,49,36,670,103
0.46,0.3223684210526316,0.9504249291784702,0.5833333333333334,0.41525423728813565,0.8391608391608392,0.27279335023110174,49,35,671,103
0.465,0.3223684210526316,0.9504249291784702,0.5833333333333334,0.41525423728813565,0.8391608391608392,0.27279335023110174,49,35,671,103
0.47,0.3223684210526316,0.9546742209631728,0.6049382716049383,0.4206008583690987,0.8426573426573427,0.2770426420158043,49,32,674,103
0.475,0.3157894736842105,0.9575070821529745,0.6153846153846154,0.41739130434782606,0.8438228438228438,0.27329655583718493,48,30,676,104
0.48,0.3026315789473684,0.9575070821529745,0.6052631578947368,0.40350877192982454,0.8414918414918415,0.2601386611003429,46,30,676,106
0.485,0.2894736842105263,0.9603399433427762,0.6111111111111112,0.3928571428571429,0.8414918414918415,0.2498136275533025,44,28,678,108
0.49,0.2894736842105263,0.9631728045325779,0.6285714285714286,0.3963963963963964,0.8438228438228438,0.25264648874310414,44,26,680,108
0.495,0.2894736842105263,0.9631728045325779,0.6285714285714286,0.3963963963963964,0.8438228438228438,0.25264648874310414,44,26,680,108
0.5,0.2894736842105263,0.9631728045325779,0.6285714285714286,0.3963963963963964,0.8438228438228438,0.25264648874310414,44,26,680,108
0.505,0.28289473684210525,0.9645892351274787,0.6323529411764706,0.3909090909090909,0.8438228438228438,0.24748397196958405,43,25,681,109
0.51,0.27631578947368424,0.9645892351274787,0.6268656716417911,0.3835616438356164,0.8426573426573427,0.24090502460116303,42,25,681,110
0.515,0.26973684210526316,0.9645892351274787,0.6212121212121212,0.3761467889908257,0.8414918414918415,0.2343260772327418,41,25,681,111
0.52,0.26973684210526316,0.9645892351274787,0.6212121212121212,0.3761467889908257,0.8414918414918415,0.2343260772327418,41,25,681,111
0.525,0.26973684210526316,0.9645892351274787,0.6212121212121212,0.3761467889908257,0.8414918414918415,0.2343260772327418,41,25,681,111
0.53,0.26973684210526316,0.9645892351274787,0.6212121212121212,0.3761467889908257,0.8414918414918415,0.2343260772327418,41,25,681,111
0.535,0.25,0.9645892351274787,0.6031746031746031,0.35348837209302325,0.837995337995338,0.21458923512747874,38,25,681,114
0.54,0.24342105263157895,0.9645892351274787,0.5967741935483871,0.34579439252336447,0.8368298368298368,0.20801028775905772,37,25,681,115
0.545,0.23684210526315788,0.9660056657223796,0.6,0.339622641509434,0.8368298368298368,0.2028477709855374,36,24,682,116
0.55,0.23026315789473684,0.9660056657223796,0.5932203389830508,0.3317535545023697,0.8356643356643356,0.1962688236171164,35,24,682,117
0.555,0.23026315789473684,0.9660056657223796,0.5932203389830508,0.3317535545023697,0.8356643356643356,0.1962688236171164,35,24,682,117
0.56,0.23026315789473684,0.9660056657223796,0.5932203389830508,0.3317535545023697,0.8356643356643356,0.1962688236171164,35,24,682,117
0.565,0.21052631578947367,0.9660056657223796,0.5714285714285714,0.3076923076923077,0.8321678321678322,0.17653198151185334,32,24,682,120
0.57,0.21052631578947367,0.9674220963172805,0.5818181818181818,0.30917874396135264,0.8333333333333334,0.17794841210675427,32,23,683,120
0.575,0.21052631578947367,0.9674220963172805,0.5818181818181818,0.30917874396135264,0.8333333333333334,0.17794841210675427,32,23,683,120
0.58,0.20394736842105263,0.9730878186968839,0.62,0.3069306930693069,0.8368298368298368,0.17703518711793653,31,19,687,121
0.585,0.20394736842105263,0.9745042492917847,0.6326530612244898,0.3084577114427861,0.837995337995338,0.17845161771283724,31,18,688,121
0.59,0.19736842105263158,0.9745042492917847,0.625,0.3,0.8368298368298368,0.17187267034441622,30,18,688,122
0.595,0.18421052631578946,0.9759206798866855,0.6222222222222222,0.2842639593908629,0.8356643356643356,0.1601312062024749,28,17,689,124
0.6,0.18421052631578946,0.9759206798866855,0.6222222222222222,0.2842639593908629,0.8356643356643356,0.1601312062024749,28,17,689,124
0.605,0.18421052631578946,0.9759206798866855,0.6222222222222222,0.2842639593908629,0.8356643356643356,0.1601312062024749,28,17,689,124
0.61,0.18421052631578946,0.9759206798866855,0.6222222222222222,0.2842639593908629,0.8356643356643356,0.1601312062024749,28,17,689,124
0.615,0.18421052631578946,0.9759206798866855,0.6222222222222222,0.2842639593908629,0.8356643356643356,0.1601312062024749,28,17,689,124
