threshold,sensitivity,specificity,precision,f1,accuracy,youden,tp,fp,tn,fn
0.0,1.0,0.0,0.17715617715617715,0.300990099009901,0.17715617715617715,0.0,152,706,0,0
0.005,1.0,0.0,0.17715617715617715,0.300990099009901,0.17715617715617715,0.0,152,706,0,0
0.01,1.0,0.0,0.17715617715617715,0.300990099009901,0.17715617715617715,0.0,152,706,0,0
0.015,1.0,0.0,0.17715617715617715,0.300990099009901,0.17715617715617715,0.0,152,706,0,0
0.02,1.0,0.0,0.17715617715617715,0.300990099009901,0.17715617715617715,0.0,152,706,0,0
0.025,1.0,0.0,0.17715617715617715,0.300990099009901,0.17715617715617715,0.0,152,706,0,0
0.03,1.0,0.036827195467422094,0.18269230769230768,0.30894308943089427,0.20745920745920746,0.03682719546742219,152,680,26,0
0.035,1.0,0.10339943342776203,0.19363057324840766,0.3244397011739595,0.26223776223776224,0.10339943342776214,152,633,73,0
0.04,1.0,0.1388101983002833,0.2,0.33333333333333337,0.2913752913752914,0.13881019830028318,152,608,98,0
0.045,0.993421052631579,0.15439093484419264,0.2018716577540107,0.33555555555555555,0.30303030303030304,0.14781198747577173,151,597,109,1
0.05,0.993421052631579,0.17138810198300283,0.20516304347826086,0.34009009009009006,0.317016317016317,0.1648091546145818,151,585,121,1
0.055,0.9802631578947368,0.20113314447592068,0.20897615708274894,0.3445086705202312,0.33916083916083917,0.18139630237065751,149,564,142,3
0.06,0.9802631578947368,0.21954674220963172,0.21285714285714286,0.3497652582159624,0.3543123543123543,0.1998099001043685,149,551,155,3
0.065,0.9736842105263158,0.26062322946175637,0.2208955223880597,0.36009732360097324,0.38694638694638694,0.23430743998807224,148,522,184,4
0.07,0.9736842105263158,0.28895184135977336,0.2276923076923077,0.3690773067331671,0.41025641025641024,0.2626360518860893,148,502,204,4
0.075,0.9671052631578947,0.311614730878187,0.23222748815165878,0.37452229299363055,0.42773892773892774,0.2787199940360816,147,486,220,5
0.08,0.9605263157894737,0.3328611898016997,0.2366288492706645,0.37971391417425226,0.44405594405594406,0.29338750559117344,146,471,235,6
0.085,0.9473684210526315,0.36827195467422097,0.2440677966101695,0.3881401617250674,0.47086247086247085,0.31564037572685244,144,446,260,8
0.09,0.9473684210526315,0.3951841359773371,0.2521891418563923,0.3983402489626556,0.493006993006993,0.34255255702996856,144,427,279,8
0.095,0.9342105263157895,0.42917847025495753,0.26055045871559634,0.40746054519368724,0.5186480186480187,0.3633889965707471,142,403,303,10
0.1,0.9342105263157895,0.45042492917847027,0.2679245283018868,0.41642228739002934,0.5361305361305362,0.3846354554942597,142,388,318,10
0.105,0.9276315789473685,0.48441926345609065,0.27920792079207923,0.42922374429223753,0.5629370629370629,0.41205084240345924,141,364,342,11
0.11,0.9078947368421053,0.5056657223796034,0.28336755646817247,0.4319248826291079,0.5769230769230769,0.4135604592217086,138,349,357,14
0.115,0.9078947368421053,0.5283286118980169,0.2929936305732484,0.4430176565008026,0.5955710955710956,0.43622334874012214,138,333,373,14
0.12,0.8947368421052632,0.5439093484419264,0.29694323144104806,0.4459016393442624,0.6060606060606061,0.43864619054718945,136,322,384,16
0.125,0.881578947368421,0.5708215297450425,0.30663615560640733,0.4550084889643464,0.6258741258741258,0.45240047711346354,134,303,403,18
0.13,0.875,0.5977337110481586,0.31894484412470026,0.4674868189806679,0.6468531468531469,0.47273371104815864,133,284,422,19
0.135,0.868421052631579,0.6147308781869688,0.32673267326732675,0.4748201438848921,0.6596736596736597,0.4831519308185479,132,272,434,20
0.14,0.8552631578947368,0.6359773371104815,0.3359173126614987,0.4823747680890539,0.6748251748251748,0.4912404950052185,130,257,449,22
0.145,0.8486842105263158,0.6458923512747875,0.3403693931398417,0.48587570621468934,0.6818181818181818,0.4945765618011033,129,250,456,23
0.15,0.8223684210526315,0.6643059490084986,0.3453038674033149,0.48638132295719844,0.6923076923076923,0.48667437006113,125,237,469,27
