threshold,sensitivity,specificity,precision,f1,accuracy,youden,tp,fp,tn,fn
0.0,1.0,0.0,0.17715617715617715,0.300990099009901,0.17715617715617715,0.0,152,706,0,0
0.005,1.0,0.0,0.17715617715617715,0.300990099009901,0.17715617715617715,0.0,152,706,0,0
0.01,1.0,0.0,0.17715617715617715,0.300990099009901,0.17715617715617715,0.0,152,706,0,0
0.015,1.0,0.0,0.17715617715617715,0.300990099009901,0.17715617715617715,0.0,152,706,0,0
0.02,1.0,0.0,0.17715617715617715,0.300990099009901,0.17715617715617715,0.0,152,706,0,0
0.025,1.0,0.0,0.17715617715617715,0.300990099009901,0.17715617715617715,0.0,152,706,0,0
0.03,1.0,0.0028328611898017,0.17757009345794392,0.30158730158730157,0.1794871794871795,0.0028328611898016387,152,704,2,0
0.035,1.0,0.0056657223796034,0.17798594847775176,0.3021868787276342,0.18181818181818182,0.0056657223796034994,152,702,4,0
0.04,1.0,0.009915014164305949,0.17861339600470036,0.3030907278165504,0.1853146853146853,0.009915014164305846,152,699,7,0
0.045,1.0,0.012747875354107648,0.1790341578327444,0.3036963036963037,0.18764568764568765,0.012747875354107707,152,697,9,0
0.05,1.0,0.0226628895184136,0.18052256532066507,0.3058350100603622,0.1958041958041958,0.022662889518413554,152,690,16,0
0.055,0.993421052631579,0.029745042492917848,0.180622009569378,0.305668016194332,0.20046620046620048,0.023166095124496744,151,685,21,1
0.06,0.993421052631579,0.042492917847025496,0.1825876662636034,0.3084780388151175,0.21095571095571095,0.03591397047860445,151,676,30,1
0.065,0.993421052631579,0.06940509915014165,0.18688118811881188,0.3145833333333333,0.2331002331002331,0.06282615178172057,151,657,49,1
0.07,0.9802631578947368,0.08640226628895184,0.18765743073047858,0.3150105708245243,0.24475524475524477,0.06666542418368859,149,645,61,3
0.075,0.9802631578947368,0.10906515580736544,0.19151670951156813,0.3204301075268817,0.2634032634032634,0.08932831370210237,149,629,77,3
0.08,0.9605263157894737,0.13739376770538245,0.19337748344370861,0.32194046306504964,0.28321678321678323,0.09792008349485615,146,609,97,6
0.085,0.9407894736842105,0.16288951841359772,0.19482288828337874,0.3227990970654627,0.3006993006993007,0.10367899209780829,143,591,115,9
0.09,0.9276315789473685,0.20821529745042494,0.20142857142857143,0.3309859154929578,0.3356643356643357,0.13584687639779336,141,559,147,11
0.095,0.9210526315789473,0.26487252124645894,0.212443095599393,0.345252774352651,0.3811188811188811,0.18592515282540623,140,519,187,12
0.1,0.9078947368421053,0.3356940509915014,0.2273476112026359,0.3636363636363636,0.4370629370629371,0.2435887878336067,138,469,237,14
0.105,0.8881578947368421,0.39943342776203966,0.24150268336314848,0.37974683544303794,0.486013986013986,0.28759132249888175,135,424,282,17
0.11,0.868421052631579,0.4745042492917847,0.2624254473161034,0.40305343511450387,0.5442890442890443,0.3429253019233638,132,371,335,20
0.115,0.8289473684210527,0.5524079320113314,0.2850678733031674,0.4242424242424243,0.6013986013986014,0.38135530043238397,126,316,390,26
0.12,0.8026315789473685,0.6175637393767706,0.3112244897959184,0.44852941176470595,0.6503496503496503,0.42019531832413914,122,270,436,30
0.125,0.7894736842105263,0.6798866855524079,0.3468208092485549,0.4819277108433735,0.6993006993006993,0.46936036976293427,120,226,480,32
0.13,0.756578947368421,0.7223796033994334,0.36977491961414793,0.4967602591792656,0.7284382284382285,0.47895855076785443,115,196,510,37
0.135,0.7368421052631579,0.7492917847025495,0.3875432525951557,0.5079365079365079,0.747086247086247,0.4861338899657075,112,177,529,40
0.14,0.7236842105263158,0.7705382436260623,0.40441176470588236,0.5188679245283019,0.7622377622377622,0.4942224541523781,110,162,544,42
0.145,0.7105263157894737,0.7946175637393768,0.4268774703557312,0.5333333333333333,0.7797202797202797,0.5051438795288505,108,145,561,44
0.15,0.6907894736842105,0.8059490084985835,0.43388429752066116,0.5329949238578681,0.7855477855477856,0.49673848218279404,105,137,569,47
