threshold,sensitivity,specificity,precision,f1,accuracy,youden,tp,fp,tn,fn
0.0,1.0,0.0,0.17715617715617715,0.300990099009901,0.17715617715617715,0.0,152,706,0,0
0.005,0.9802631578947368,0.26062322946175637,0.22205663189269748,0.36208991494532206,0.3881118881118881,0.24088638735649326,149,522,184,3
0.01,0.9473684210526315,0.3555240793201133,0.24040066777963273,0.38348868175765644,0.4603729603729604,0.30289250037274495,144,455,251,8
0.015,0.9210526315789473,0.43342776203966005,0.25925925925925924,0.40462427745664736,0.5198135198135199,0.3544803936186074,140,400,306,12
0.02,0.9078947368421053,0.49291784702549574,0.2782258064516129,0.4259259259259259,0.5664335664335665,0.4008125838676011,138,358,348,14
0.025,0.9013157894736842,0.5311614730878187,0.29273504273504275,0.44193548387096776,0.5967365967365967,0.43247726256150276,137,331,375,15
0.03,0.9013157894736842,0.5524079320113314,0.30242825607064017,0.4528925619834711,0.6142191142191142,0.4537237214850156,137,316,390,15
0.035,0.881578947368421,0.5764872521246459,0.3094688221709007,0.4581196581196581,0.6305361305361306,0.45806619949306704,134,299,407,18
0.04,0.8552631578947368,0.5977337110481586,0.3140096618357488,0.45936395759717313,0.6433566433566433,0.4529968689428956,130,284,422,22
0.045,0.8552631578947368,0.6161473087818697,0.32418952618453867,0.47016274864376134,0.6585081585081585,0.4714104666766066,130,271,435,22
0.05,0.8552631578947368,0.6303116147308782,0.33248081841432225,0.4788213627992633,0.6701631701631702,0.485574772625615,130,261,445,22
0.055,0.8421052631578947,0.6444759206798867,0.33773087071240104,0.48210922787193977,0.6794871794871795,0.4865811838377814,128,251,455,24
0.06,0.8289473684210527,0.6586402266288952,0.34332425068119893,0.4855491329479769,0.6888111888111889,0.487587595049948,126,241,465,26
0.065,0.8289473684210527,0.669971671388102,0.35097493036211697,0.49315068493150677,0.6981351981351981,0.49891903980915453,126,233,473,26
0.07,0.8026315789473685,0.6841359773371105,0.3536231884057971,0.4909456740442656,0.7051282051282052,0.4867675562844789,122,223,483,30
0.075,0.7763157894736842,0.6940509915014165,0.3532934131736527,0.48559670781893,0.7086247086247086,0.47036678097510065,118,216,490,34
0.08,0.7631578947368421,0.7110481586402266,0.3625,0.4915254237288136,0.7202797202797203,0.47420605337706867,116,204,502,36
0.085,0.75,0.7223796033994334,0.36774193548387096,0.49350649350649356,0.7272727272727273,0.4723796033994334,114,196,510,38
0.09,0.7368421052631579,0.7237960339943342,0.36482084690553745,0.48801742919389973,0.7261072261072261,0.4606381392574921,112,195,511,40
0.095,0.7171052631578947,0.7252124645892352,0.35973597359735976,0.47912087912087914,0.7237762237762237,0.44231772774712974,109,194,512,43
0.1,0.6907894736842105,0.7379603399433428,0.3620689655172414,0.4751131221719457,0.7296037296037297,0.42874981362755316,105,185,521,47
0.105,0.6907894736842105,0.7450424929178471,0.3684210526315789,0.4805491990846682,0.7354312354312355,0.4358319666020576,105,180,526,47
0.11,0.6842105263157895,0.7492917847025495,0.3701067615658363,0.48036951501154723,0.7377622377622378,0.4335023110183389,104,177,529,48
0.115,0.6776315789473685,0.7563739376770539,0.37454545454545457,0.48243559718969553,0.7424242424242424,0.4340055166244223,103,172,534,49
0.12,0.6644736842105263,0.7620396600566572,0.3754646840148699,0.47980997624703087,0.7447552447552448,0.42651334426718357,101,168,538,51
0.125,0.6644736842105263,0.7691218130311614,0.38257575757575757,0.4855769230769231,0.7505827505827506,0.4335954972416878,101,163,543,51
0.13,0.6513157894736842,0.7747875354107648,0.38372093023255816,0.48292682926829267,0.752913752913753,0.426103324884449,99,159,547,53
0.135,0.6513157894736842,0.7776203966005666,0.38671875,0.48529411764705893,0.7552447552447552,0.4289361860742509,99,157,549,53
0.14,0.6447368421052632,0.7847025495750708,0.392,0.4875621890547263,0.7599067599067599,0.42943939168033385,98,152,554,54
0.145,0.6447368421052632,0.7889518413597734,0.3967611336032389,0.4912280701754386,0.7634032634032634,0.43368868346503664,98,149,557,54
0.15,0.6447368421052632,0.7917847025495751,0.4,0.49370277078085645,0.7657342657342657,0.4365215446548383,98,147,559,54
0.155,0.6447368421052632,0.7974504249291785,0.4066390041493776,0.4987277353689567,0.7703962703962703,0.4421872670344418,98,143,563,54
0.16,0.6447368421052632,0.8002832861189801,0.4100418410041841,0.5012787723785166,0.7727272727272727,0.4450201282242432,98,141,565,54
0.165,0.6447368421052632,0.8059490084985835,0.41702127659574467,0.5064599483204134,0.7773892773892774,0.4506858506038467,98,137,569,54
0.17,0.625,0.8144475920679887,0.42035398230088494,0.5026455026455026,0.7808857808857809,0.4394475920679888,95,131,575,57
0.175,0.625,0.8172804532577904,0.42410714285714285,0.5053191489361702,0.7832167832167832,0.4422804532577904,95,129,577,57
0.18,0.625,0.8229461756373938,0.4318181818181818,0.510752688172043,0.7878787878787878,0.4479461756373939,95,125,581,57
0.185,0.618421052631579,0.8257790368271954,0.43317972350230416,0.5094850948509486,0.789044289044289,0.44420008945877454,94,123,583,58
0.19,0.6118421052631579,0.8271954674220963,0.4325581395348837,0.5068119891008174,0.789044289044289,0.43903757268525423,93,122,584,59
0.195,0.6118421052631579,0.8286118980169972,0.43457943925233644,0.5081967213114754,0.7902097902097902,0.44045400328015516,93,121,585,59
0.2,0.6052631578947368,0.8328611898016998,0.4380952380952381,0.5082872928176795,0.7925407925407926,0.4381243476964367,92,118,588,60
0.205,0.5986842105263158,0.8356940509915014,0.4396135265700483,0.5069637883008357,0.7937062937062938,0.43437826151781733,91,116,590,61
0.21,0.5921052631578947,0.8385269121813032,0.4411764705882353,0.5056179775280898,0.7948717948717948,0.43063217533919795,90,114,592,62
0.215,0.5723684210526315,0.8427762039660056,0.4393939393939394,0.49714285714285716,0.7948717948717948,0.415144625018637,87,111,595,65
0.22,0.5723684210526315,0.8456090651558074,0.44387755102040816,0.5,0.7972027972027972,0.4179774862084389,87,109,597,65
0.225,0.5657894736842105,0.8498583569405099,0.4479166666666667,0.5,0.7995337995337995,0.41564783062472044,86,106,600,66
0.23,0.5592105263157895,0.8526912181303116,0.4497354497354497,0.49853372434017595,0.8006993006993007,0.41190174444610106,85,104,602,67
0.235,0.5592105263157895,0.8526912181303116,0.4497354497354497,0.49853372434017595,0.8006993006993007,0.41190174444610106,85,104,602,67
0.24,0.5592105263157895,0.8555240793201133,0.45454545454545453,0.5014749262536874,0.803030303030303,0.4147346056359029,85,102,604,67
0.245,0.5592105263157895,0.8569405099150141,0.45698924731182794,0.5029585798816568,0.8041958041958042,0.41615103623080363,85,101,605,67
0.25,0.5526315789473685,0.8597733711048159,0.45901639344262296,0.5014925373134329,0.8053613053613053,0.41240495005218447,84,99,607,68
0.255,0.5460526315789473,0.8611898016997167,0.4585635359116022,0.4984984984984985,0.8053613053613053,0.40724243327866416,83,98,608,69
0.26,0.5394736842105263,0.8626062322946175,0.4581005586592179,0.4954682779456193,0.8053613053613053,0.40207991650514385,82,97,609,70
0.265,0.5394736842105263,0.8626062322946175,0.4581005586592179,0.4954682779456193,0.8053613053613053,0.40207991650514385,82,97,609,70
0.27,0.5394736842105263,0.8640226628895185,0.4606741573033708,0.496969696969697,0.8065268065268065,0.4034963471000448,82,96,610,70
0.275,0.5263157894736842,0.8682719546742209,0.4624277456647399,0.4923076923076923,0.8076923076923077,0.3945877441479051,80,93,613,72
0.28,0.5263157894736842,0.8711048158640227,0.4678362573099415,0.4953560371517028,0.8100233100233101,0.39742060533770696,80,91,615,72
0.285,0.5197368421052632,0.8739376770538244,0.47023809523809523,0.49375,0.8111888111888111,0.3936745191590876,79,89,617,73
0.29,0.506578947368421,0.8753541076487252,0.4666666666666667,0.48580441640378547,0.8100233100233101,0.38193305501714625,77,88,618,75
0.295,0.5,0.8781869688385269,0.4691358024691358,0.4840764331210191,0.8111888111888111,0.37818696883852687,76,86,620,76
0.3,0.5,0.8796033994334278,0.4720496894409938,0.48562300319488816,0.8123543123543123,0.3796033994334278,76,85,621,76
0.305,0.5,0.8810198300283286,0.475,0.48717948717948717,0.8135198135198135,0.3810198300283285,76,84,622,76
0.31,0.5,0.8824362606232294,0.4779874213836478,0.4887459807073955,0.8146853146853147,0.38243626062322944,76,83,623,76
0.315,0.5,0.8838526912181303,0.4810126582278481,0.4903225806451613,0.8158508158508159,0.38385269121813037,76,82,624,76
0.32,0.5,0.8852691218130312,0.4840764331210191,0.4919093851132686,0.817016317016317,0.3852691218130313,76,81,625,76
0.325,0.5,0.886685552407932,0.48717948717948717,0.49350649350649345,0.8181818181818182,0.386685552407932,76,80,626,76
0.33,0.5,0.8909348441926346,0.49673202614379086,0.49836065573770494,0.8216783216783217,0.3909348441926346,76,77,629,76
0.335,0.4934210526315789,0.8909348441926346,0.4934210526315789,0.4934210526315789,0.8205128205128205,0.38435589682421356,75,77,629,77
0.34,0.4934210526315789,0.8937677053824362,0.5,0.4966887417218543,0.8228438228438228,0.3871887580140152,75,75,631,77
0.345,0.48026315789473684,0.8951841359773371,0.4965986394557823,0.48829431438127086,0.8216783216783217,0.3754472938720741,73,74,632,79
